"RefDes";"Value";"Name";"LCSC"
"C1, C2";"100nF";"CL05B104KO5NNNC";"C1525"
"C101, C102, C103, C104, C105, C106, C107, C108, C205, C206";"47uF";"CL31A476MPHNNNE";"C96123"
"C201, C202, C203, C204";"2.2uF";"
0805F225M500NT";"C49217"
"D1, D2, D3, D4";"";"P6SMB6.8CA";"C78395"
"D101, D105, D109, D113";"";"M7";"C95872"
"D102, D106, D110, D114";"";"B5819W";"C8598"
"D103, D104, D107, D108, D111, D112, D115, D116, D202";"";"KT-0603R";"C2286"
"D201";"";"US1MG";"C412437"
"J1, J2";"";"PBS-16 (DS-1023 - 1x16)";"NONE"
"J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14";"";"KLS2-306V-5.00-03P-2S";"NONE"
"J101, J102, J103, J104";"";"HDR-1x2";"NONE"
"K101, K102, K103, K104";"";"RY611005";"NONE"
"Q101, Q102, Q103, Q104";"";"2N7002";"NONE"
"R1, R4";"100k";"0402WGF1003TCE";"C25741"
"R2, R3, R5, R6, R7, R8, R9, R10, R108, R116, R124, R131";"4.7k";"0402WGF4701TCE";"C25900"
"R101, R109, R117, R125";"4.7k";"4.7k (0603)";"C25900"
"R102, R103, R110, R111, R118, R119, R126, R127";"82k";"0805W8F8202T5E";"C17840"
"R104, R106, R112, R115, R120, R123, R128, R132, R203, R204, R205";"180";"0402WGF1802TCE";"C25762"
"R105, R113, R121, R130, R202";"1k";"0402WGF1001TCE";"C11702"
"R107, R114, R122, R129";"12k";"0402WGF1202TCE";"NONE"
"R201";"2k";"0402WGF2001TCE";"C4109"
"T201";"R-78E5.0";"R-78E5.0-1.0";"NONE"
"U1";"";"LM2904DR2G";"C18229"
"U2, U3";"";"SN75176BD";"C7063"
"U4, U5";"";"PSM712-LF-T7";"C32677"
"U201";"";"LM317AG-TN3-R";"C75510"
"VO101, VO102, VO103, VO104";"";"EL357N(B)(TA)-G";"C6649"
