RefDes,X (mm)mm,Y (mm)mm,Side,Rotate
C1,74.295mm,67.8mm,Top,90
C2,85.09mm,61.913mm,Top,0
C101,3.81mm,30.928mm,Top,90
C102,6.35mm,30.928mm,Top,90
C103,12.7mm,30.928mm,Top,90
C104,15.558mm,30.928mm,Top,90
C105,23.813mm,30.928mm,Top,90
C106,26.67mm,30.928mm,Top,90
C107,33.655mm,30.928mm,Top,90
C108,36.513mm,30.928mm,Top,90
C201,64.135mm,62.115mm,Top,270
C202,3.925mm,65.405mm,Top,0
C203,3.925mm,67.628mm,Top,0
C204,6.465mm,70.168mm,Top,0
C205,3.997mm,62.548mm,Top,180
C206,7.62mm,63.947mm,Top,90
D1,67.628mm,71.29mm,Top,270
D2,45.085mm,71.29mm,Top,270
D3,57.15mm,71.29mm,Top,270
D4,62.548mm,71.29mm,Top,270
D101,2.858mm,15.303mm,Top,270
D102,56.198mm,40.128mm,Top,90
D103,55.18mm,44.768mm,Top,180
D104,3.81mm,35.625mm,Top,90
D105,12.7mm,15.303mm,Top,270
D106,71.438mm,40.763mm,Top,90
D107,68.832mm,44.768mm,Top,180
D108,12.7mm,35.308mm,Top,90
D109,22.86mm,15.303mm,Top,270
D110,87.63mm,40.763mm,Top,90
D111,82.485mm,45.085mm,Top,180
D112,23.813mm,35.625mm,Top,90
D113,32.385mm,15.303mm,Top,270
D114,88.265mm,51.24mm,Top,90
D115,33.655mm,35.625mm,Top,90
D116,85.408mm,52.005mm,Top,270
D201,6.095mm,73.342mm,Top,180
D202,45.72mm,27.773mm,Top,270
Q101,56.373mm,48.16mm,Top,0
Q102,70.66mm,48.16mm,Top,0
Q103,82.408mm,48.16mm,Top,0
Q104,82.408mm,56.097mm,Top,0
R1,73.78mm,65.722mm,Top,180
R2,77.153mm,72.605mm,Top,90
R3,74.81mm,70.803mm,Top,0
R4,82.867mm,61.913mm,Top,180
R5,85.408mm,66.992mm,Top,90
R6,85.408mm,64.77mm,Top,90
R7,42.545mm,68.58mm,Top,90
R8,54.293mm,68.58mm,Top,90
R9,60.008mm,68.898mm,Top,90
R10,65.087mm,68.898mm,Top,90
R101,8.058mm,36.83mm,Top,180
R102,6.033mm,13.595mm,Top,90
R103,6.033mm,17.087mm,Top,90
R104,5.913mm,36.83mm,Top,0
R105,52.705mm,49.41mm,Top,90
R106,58.222mm,44.768mm,Top,180
R107,8.572mm,13.335mm,Top,90
R108,52.705mm,47.428mm,Top,270
R109,16.947mm,36.83mm,Top,180
R110,15.875mm,13.595mm,Top,90
R111,15.875mm,17.087mm,Top,90
R112,14.803mm,36.83mm,Top,0
R113,67.628mm,49.41mm,Top,90
R114,18.732mm,13.335mm,Top,90
R115,71.875mm,44.768mm,Top,180
R116,67.628mm,47.075mm,Top,270
R117,27.742mm,36.83mm,Top,180
R118,25.717mm,13.595mm,Top,90
R119,25.717mm,17.087mm,Top,90
R120,25.597mm,36.83mm,Top,0
R121,79.375mm,49.727mm,Top,90
R122,28.258mm,13.335mm,Top,90
R123,85.21mm,45.085mm,Top,180
R124,79.375mm,47.428mm,Top,270
R125,37.585mm,36.83mm,Top,180
R126,35.878mm,13.595mm,Top,90
R127,35.878mm,17.087mm,Top,90
R128,35.44mm,36.83mm,Top,0
R129,38.1mm,13.335mm,Top,90
R130,79.375mm,57.7mm,Top,90
R131,79.375mm,55.365mm,Top,270
R132,85.408mm,55.365mm,Top,270
R201,63.817mm,57.905mm,Top,270
R202,63.817mm,55.563mm,Top,90
R203,63.5mm,53.658mm,Top,180
R204,61.595mm,54.928mm,Top,90
R205,45.72mm,31.115mm,Top,270
U1,79.852mm,66.357mm,Top,0
U2,29.21mm,66.2mm,Top,90
U3,22.86mm,66.2mm,Top,90
U4,27.84mm,72.532mm,Top,270
U5,22.125mm,72.532mm,Top,270
U201,68.955mm,59.21mm,Top,0
VO101,4.355mm,23.308mm,Top,0
VO102,14.197mm,23.308mm,Top,0
VO103,24.357mm,23.308mm,Top,0
VO104,33.883mm,23.308mm,Top,0
